"species","model","intercept","slope","gof","value"
"SMB","lm",0.263407775033882,0.0084026214291694,"R2",0.332120723221893
"SMB","rq",1.70513159829437,0.0380826349066314,"R1",0.613908267318866
"WAE","lm",-4.00703891346444,0.013562536675634,"R2",0.345398842057237
"WAE","rq",-0.392435178879317,0.0466530772260973,"R1",0.726734749161933
